DATE,AUTO_INDEX NAME,AUTO_OPEN,AUTO_HIGH,AUTO_LOW,AUTO_CLOSE,AUTO_CLOSE_RETURNS,BANK_INDEX NAME,BANK_OPEN,BANK_HIGH,BANK_LOW,BANK_CLOSE,BANK_CLOSE_RETURNS,FMCG_INDEX NAME,FMCG_OPEN,FMCG_HIGH,FMCG_LOW,FMCG_CLOSE,FMCG_CLOSE_RETURNS,IT_INDEX NAME,IT_OPEN,IT_HIGH,IT_LOW,IT_CLOSE,IT_CLOSE_RETURNS,METAL_INDEX NAME,METAL_OPEN,METAL_HIGH,METAL_LOW,METAL_CLOSE,METAL_CLOSE_RETURNS,PHARMA_INDEX NAME,PHARMA_OPEN,PHARMA_HIGH,PHARMA_LOW,PHARMA_CLOSE,PHARMA_CLOSE_RETURNS
2019-10-29,NIFTY AUTO,8133.25,8479.05,8128.5,8449.75,0.04202591035209879,NIFTY BANK,29527.6,29997.65,29385.45,29873.05,0.012014083031513868,NIFTY FMCG,31828.7,31995.1,31526.7,31950.75,0.004620880258940327,NIFTY IT,14980.15,15199.9,14970.5,15181.4,0.014931692452598134,NIFTY METAL,2434.5,2528.1,2428.4,2518.3,0.03901106987960103,NIFTY PHARMA,7745.6,7852.3,7722.25,7824.6,0.004810272171267001
2019-10-30,NIFTY AUTO,8501.15,8501.15,8360.75,8428.9,-0.002470577991163298,NIFTY BANK,30005.7,30151.1,29753.0,29987.5,0.0038238920109728933,NIFTY FMCG,32229.85,32385.95,32039.8,32274.1,0.010069396257282991,NIFTY IT,15343.7,15419.65,15212.75,15395.65,0.0140140076568115,NIFTY METAL,2534.4,2534.4,2502.6,2514.25,-0.0016095223591677584,NIFTY PHARMA,7871.4,7871.4,7771.75,7819.35,-0.0006711860108335409
2019-10-31,NIFTY AUTO,8457.45,8499.7,8427.75,8449.5,0.002440990879307174,NIFTY BANK,30168.65,30415.65,29987.15,30066.25,0.0026226520455046253,NIFTY FMCG,32310.1,32533.75,32208.1,32319.75,0.0014134474907469435,NIFTY IT,15436.3,15657.75,15417.0,15559.4,0.010579955609814331,NIFTY METAL,2525.8,2539.3,2492.0,2500.75,-0.005383861459299726,NIFTY PHARMA,7840.65,7923.5,7829.55,7878.15,0.007491673835083068
2019-11-01,NIFTY AUTO,8461.65,8499.1,8367.3,8392.9,-0.0067211576818451265,NIFTY BANK,30196.15,30409.0,30028.9,30330.55,0.008752175185619418,NIFTY FMCG,32396.1,32591.3,32338.25,32449.85,0.004017322168803995,NIFTY IT,15575.35,15636.3,15411.8,15471.2,-0.005684726529510942,NIFTY METAL,2494.85,2568.35,2483.5,2561.75,0.024099931814537102,NIFTY PHARMA,7902.75,7979.55,7894.2,7949.45,0.009009639150067831
2019-11-04,NIFTY AUTO,8377.1,8417.8,8266.65,8280.35,-0.013500872303700628,NIFTY BANK,30415.9,30607.05,30227.25,30333.1,8.407011452503574e-05,NIFTY FMCG,32541.1,32644.9,32228.3,32255.7,-0.006001048832852692,NIFTY IT,15474.0,15803.35,15428.5,15591.3,0.007732835313650039,NIFTY METAL,2578.85,2660.1,2578.35,2642.15,0.030902360961119948,NIFTY PHARMA,7983.6,8030.15,7925.25,7966.85,0.002186438673780371
2019-11-05,NIFTY AUTO,8288.75,8381.2,8227.85,8256.15,-0.002926860856384701,NIFTY BANK,30403.25,30452.7,30091.35,30219.85,-0.0037405322794520322,NIFTY FMCG,32257.0,32390.05,32064.75,32361.45,0.0032731277814486964,NIFTY IT,15613.1,15613.1,15422.8,15533.45,-0.003717303214702897,NIFTY METAL,2667.0,2673.75,2609.2,2616.95,-0.009583462139709462,NIFTY PHARMA,7960.35,8003.85,7847.85,7879.55,-0.011018386916712758
2019-11-06,NIFTY AUTO,8273.3,8304.1,8195.6,8258.85,0.00032697547975240476,NIFTY BANK,30225.2,30699.0,30013.65,30609.6,0.012814692014969648,NIFTY FMCG,32360.6,32543.05,32181.9,32393.0,0.0009744504816744891,NIFTY IT,15554.05,15647.05,15440.4,15561.3,0.0017912996532843956,NIFTY METAL,2613.9,2656.7,2608.8,2633.45,0.00628525610184943,NIFTY PHARMA,7877.0,8061.95,7861.65,7926.35,0.005921856618936616
2019-11-07,NIFTY AUTO,8273.75,8276.25,8164.9,8239.9,-0.0022971447331541044,NIFTY BANK,30722.6,30821.35,30462.55,30633.15,0.0007690706625930379,NIFTY FMCG,32587.8,32608.05,32340.75,32535.9,0.004401745008098518,NIFTY IT,15635.5,15639.7,15532.15,15624.4,0.0040467320669829695,NIFTY METAL,2645.35,2677.85,2596.7,2659.05,0.009674142524815856,NIFTY PHARMA,7942.3,7982.0,7871.0,7966.0,0.004989832500356742
2019-11-08,NIFTY AUTO,8220.2,8337.3,8157.4,8169.65,-0.00856213962842493,NIFTY BANK,30571.3,31108.4,30504.05,30749.4,0.0037877259574668294,NIFTY FMCG,32489.55,32551.45,31907.4,31947.5,-0.0182501645809148,NIFTY IT,15646.4,15658.15,15355.7,15383.3,-0.015551289453999742,NIFTY METAL,2652.15,2669.95,2607.25,2612.95,-0.01748906488413089,NIFTY PHARMA,7955.55,7958.15,7771.0,7787.4,-0.02267544181982125
2019-11-11,NIFTY AUTO,8134.1,8209.3,8115.95,8159.0,-0.001304455850321203,NIFTY BANK,30664.65,31205.2,30625.8,31115.55,0.011837212359799816,NIFTY FMCG,31928.4,32061.3,31751.65,31802.55,-0.004547455250285209,NIFTY IT,15343.25,15354.05,15228.8,15308.55,-0.004871009587087439,NIFTY METAL,2610.15,2622.45,2598.55,2610.1,-0.001091316484757239,NIFTY PHARMA,7728.55,7807.6,7675.0,7787.051925,-4.4698202124101423e-05
